work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Mid,Full-Time,Data Scientist,79833.0,DE,On-site,DE,Large
2020,Senior,Full-Time,Machine Learning Scientist,260000.0,JP,On-site,JP,Small
2020,Senior,Full-Time,Big Data Engineer,109024.0,GB,Hybrid,GB,Medium
2020,Mid,Full-Time,Product Data Analyst,20000.0,HN,On-site,HN,Small
2020,Senior,Full-Time,Machine Learning Engineer,150000.0,US,Hybrid,US,Large
2020,Entry,Full-Time,Data Analyst,72000.0,US,Remote,US,Large
2020,Senior,Full-Time,Lead Data Scientist,190000.0,US,Remote,US,Small
2020,Mid,Full-Time,Data Scientist,35735.0,HU,Hybrid,HU,Large
2020,Mid,Full-Time,Business Data Analyst,135000.0,US,Remote,US,Large
2020,Senior,Full-Time,Lead Data Engineer,125000.0,NZ,Hybrid,NZ,Small
2020,Entry,Full-Time,Data Scientist,51321.0,FR,On-site,FR,Small
2020,Mid,Full-Time,Data Scientist,40481.0,IN,On-site,IN,Large
2020,Entry,Full-Time,Data Scientist,39916.0,FR,On-site,FR,Medium
2020,Mid,Full-Time,Lead Data Analyst,87000.0,US,Remote,US,Large
2020,Mid,Full-Time,Data Analyst,85000.0,US,Remote,US,Large
2020,Mid,Full-Time,Data Analyst,8000.0,PK,Hybrid,PK,Large
2020,Entry,Full-Time,Data Engineer,41689.0,JP,Remote,JP,Small
2020,Senior,Full-Time,Big Data Engineer,114047.0,PL,Remote,GB,Small
2020,Entry,Full-Time,Data Science Consultant,5707.0,IN,Hybrid,IN,Medium
2020,Mid,Full-Time,Lead Data Engineer,56000.0,PT,Remote,US,Medium
2020,Mid,Full-Time,Machine Learning Engineer,43331.0,CN,On-site,CN,Medium
2020,Mid,Full-Time,Product Data Analyst,6072.0,IN,Remote,IN,Large
2020,Senior,Full-Time,Data Engineer,47899.0,GR,Hybrid,GR,Large
2020,Mid,Full-Time,BI Data Analyst,98000.0,US,On-site,US,Medium
2020,Mid,Full-Time,Lead Data Scientist,115000.0,AE,On-site,AE,Large
2020,Executive,Full-Time,Director of Data Science,319030.375,US,Remote,US,Large
2020,Entry,Full-Time,Research Scientist,42000.0,NL,Hybrid,NL,Large
2020,Senior,Full-Time,Data Engineer,33511.0,MX,On-site,MX,Small
2020,Entry,Contract,Business Data Analyst,100000.0,US,Remote,US,Large
2020,Senior,Full-Time,Machine Learning Manager,117104.0,CA,Hybrid,CA,Large
2020,Mid,Full-Time,Data Engineering Manager,59303.0,DE,Remote,DE,Small
2020,Entry,Full-Time,Big Data Engineer,70000.0,US,Remote,US,Large
2020,Senior,Full-Time,Data Scientist,68428.0,GR,Remote,US,Large
2020,Mid,Full-Time,Research Scientist,319030.375,US,On-site,US,Medium
2020,Mid,Full-Time,Data Analyst,46759.0,FR,Hybrid,FR,Large
2020,Mid,Full-Time,Data Engineer,74130.0,AT,Hybrid,AT,Large
2020,Mid,Full-Time,Data Science Consultant,103000.0,US,Remote,US,Large
2020,Entry,Full-Time,Machine Learning Engineer,250000.0,US,Hybrid,US,Large
2020,Entry,Full-Time,Data Analyst,10000.0,NG,Remote,NG,Small
2020,Entry,Full-Time,Machine Learning Engineer,138000.0,US,Remote,US,Small
2020,Mid,Full-Time,Data Scientist,45760.0,PH,Remote,US,Small
2020,Executive,Full-Time,Data Engineering Manager,79833.0,ES,Hybrid,ES,Large
2020,Mid,Full-Time,Machine Learning Infrastructure Engineer,50180.0,PT,On-site,PT,Medium
2020,Mid,Full-Time,Data Engineer,106000.0,US,Remote,US,Large
2020,Mid,Full-Time,Data Engineer,112872.0,GB,Hybrid,GB,Large
2020,Entry,Part-Time,ML Engineer,15966.0,DE,Remote,DE,Small
2020,Mid,Full-Time,Data Scientist,76958.0,GB,Remote,GB,Small
2020,Senior,Full-Time,Data Engineer,188000.0,US,Remote,US,Large
2020,Mid,Full-Time,Data Scientist,105000.0,US,Remote,US,Large
2020,Mid,Full-Time,Data Engineer,70139.0,FR,Hybrid,FR,Large
2020,Entry,Full-Time,Data Analyst,6072.0,IN,On-site,IN,Small
2020,Entry,Full-Time,Data Analyst,91000.0,US,Remote,US,Large
2020,Entry,Full-Time,AI Scientist,45896.0,DK,Hybrid,DK,Small
2020,Entry,Full-Time,Data Engineer,54742.0,PK,Remote,DE,Large
2020,Senior,Freelance,Computer Vision Engineer,60000.0,RU,Remote,US,Small
2020,Senior,Full-Time,Principal Data Scientist,148261.0,DE,Remote,DE,Medium
2020,Mid,Full-Time,Data Scientist,38776.0,ES,Remote,ES,Medium
2020,Mid,Full-Time,Data Scientist,118000.0,US,Remote,US,Medium
2020,Senior,Full-Time,Data Scientist,120000.0,US,Hybrid,US,Large
2020,Mid,Full-Time,Data Scientist,138350.0,US,Remote,US,Medium
2020,Mid,Full-Time,Data Engineer,110000.0,US,Remote,US,Large
2020,Mid,Full-Time,Data Engineer,130800.0,ES,Remote,US,Medium
2020,Entry,Part-Time,Data Scientist,21669.0,IT,Hybrid,IT,Small
2020,Senior,Full-Time,Data Scientist,319030.375,US,Remote,US,Large
2020,Senior,Full-Time,Machine Learning Engineer,45618.0,HR,Remote,HR,Small
2020,Entry,Full-Time,Data Scientist,62726.0,DE,Hybrid,DE,Small
2020,Entry,Full-Time,Data Scientist,49268.0,DE,On-site,DE,Small
2020,Senior,Full-Time,Data Science Manager,190200.0,US,Remote,US,Medium
2020,Entry,Full-Time,Data Scientist,105000.0,US,Remote,US,Small
2020,Senior,Full-Time,Data Scientist,91237.0,AT,On-site,AT,Small
2020,Mid,Full-Time,Data Scientist,62726.0,FR,Hybrid,LU,Small
2020,Mid,Full-Time,Data Scientist,42197.0,FR,Hybrid,FR,Small
2021,Entry,Full-Time,Research Scientist,82528.0,GB,Hybrid,GB,Large
2021,Executive,Full-Time,BI Data Analyst,150000.0,IN,Remote,US,Large
2021,Executive,Full-Time,Head of Data,235000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Scientist,53192.0,FR,Hybrid,FR,Large
2021,Mid,Full-Time,BI Data Analyst,100000.0,US,Remote,US,Medium
2021,Mid,Part-Time,3D Computer Vision Researcher,5409.0,IN,Hybrid,IN,Medium
2021,Mid,Contract,ML Engineer,270000.0,US,Remote,US,Large
2021,Entry,Full-Time,Data Analyst,80000.0,US,Remote,US,Medium
2021,Senior,Full-Time,Data Analytics Engineer,79197.0,DE,Remote,DE,Large
2021,Mid,Full-Time,Data Engineer,140000.0,US,Remote,US,Large
2021,Mid,Full-Time,Applied Data Scientist,54238.0,GB,Hybrid,CA,Large
2021,Mid,Full-Time,Machine Learning Engineer,47282.0,ES,Remote,ES,Small
2021,Executive,Full-Time,Director of Data Science,153667.0,IT,Remote,PL,Large
2021,Mid,Full-Time,Data Engineer,28476.0,PL,Remote,PL,Large
2021,Entry,Full-Time,Data Analyst,59102.0,FR,Hybrid,FR,Medium
2021,Mid,Full-Time,Data Analytics Engineer,110000.0,US,Remote,US,Large
2021,Senior,Full-Time,Lead Data Analyst,170000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Analyst,80000.0,BG,Remote,US,Small
2021,Senior,Full-Time,Marketing Data Analyst,88654.0,GR,Remote,DK,Large
2021,Entry,Full-Time,Data Science Consultant,76833.0,DE,Remote,DE,Small
2021,Mid,Full-Time,Lead Data Analyst,19609.0,IN,Remote,IN,Large
2021,Senior,Full-Time,Lead Data Engineer,276000.0,US,On-site,US,Large
2021,Entry,Full-Time,Data Scientist,29751.0,IN,Hybrid,IN,Large
2021,Mid,Full-Time,Cloud Data Engineer,89294.0,SG,Hybrid,SG,Large
2021,Entry,Part-Time,AI Scientist,12000.0,BR,Remote,US,Small
2021,Mid,Full-Time,Financial Data Analyst,319030.375,US,Remote,US,Large
2021,Entry,Full-Time,Computer Vision Software Engineer,70000.0,US,Remote,US,Medium
2021,Mid,Full-Time,Computer Vision Software Engineer,95746.0,DE,Remote,US,Small
2021,Mid,Full-Time,Data Analyst,75000.0,US,On-site,US,Large
2021,Senior,Full-Time,Data Engineer,150000.0,US,Remote,US,Large
2021,Mid,Full-Time,BI Data Analyst,36259.0,HU,Hybrid,US,Large
2021,Mid,Full-Time,Data Analyst,62000.0,US,On-site,US,Large
2021,Mid,Full-Time,Data Scientist,73000.0,US,On-site,US,Large
2021,Mid,Full-Time,Data Analyst,51519.0,GB,Hybrid,GB,Large
2021,Mid,Full-Time,Research Scientist,187442.0,CA,Remote,CA,Large
2021,Senior,Full-Time,Data Engineer,115000.0,US,Remote,US,Small
2021,Senior,Full-Time,Data Engineer,150000.0,US,Remote,US,Medium
2021,Entry,Full-Time,Data Engineer,30428.0,IN,Remote,IN,Large
2021,Senior,Full-Time,Machine Learning Engineer,94564.0,DE,Hybrid,DE,Large
2021,Senior,Full-Time,Director of Data Engineering,113476.0,GB,Remote,GB,Medium
2021,Senior,Full-Time,Lead Data Engineer,103160.0,GB,Remote,GB,Small
2021,Entry,Part-Time,AI Scientist,12000.0,PK,Remote,US,Medium
2021,Mid,Full-Time,Data Engineer,45391.0,NL,Remote,NL,Large
2021,Entry,Full-Time,Machine Learning Scientist,225000.0,US,Remote,US,Large
2021,Mid,Full-Time,Data Scientist,50000.0,NG,Remote,NG,Large
2021,Mid,Full-Time,Data Science Engineer,40189.0,GR,Remote,GR,Medium
2021,Entry,Full-Time,Data Analyst,90000.0,US,Remote,US,Small
2021,Mid,Full-Time,Data Engineer,200000.0,US,Remote,US,Large
2021,Mid,Full-Time,Big Data Engineer,60000.0,ES,Hybrid,RO,Medium
2021,Senior,Full-Time,Principal Data Engineer,200000.0,US,Remote,US,Medium
